IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
387,Bug,Closed,Fixed,Demos/Scripts,Minor,Person 414,2005/06/23 12:17:34 +0100,2006/01/20 04:21:37 +0100,Person 415,2006/05/04 02:25:56 +0100
389,Bug,Closed,Fixed,JDBC; Network Server,Critical,Person 393,2005/06/23 22:38:49 +0100,2005/06/23 22:38:49 +0100,Person 393,2005/07/22 23:09:02 +0100
392,Bug,Closed,Fixed,SQL,Minor,Person 411,2005/06/25 07:18:53 +0100,2005/07/19 09:57:06 +0100,Person 411,2005/10/14 09:47:06 +0100
400,Improvement,Closed,Fixed,Network Client,Minor,Person 401,2005/06/29 08:49:23 +0100,2005/08/11 11:02:05 +0100,Person 401,2006/06/22 07:39:03 +0100
406,Bug,Closed,Fixed,Network Client,Major,Person 393,2005/06/30 07:02:02 +0100,2005/09/18 01:05:16 +0100,Person 416,2005/09/18 01:05:16 +0100
415,Bug,Closed,Fixed,Tools,Minor,Person 401,2005/06/30 09:28:16 +0100,2006/04/14 23:46:21 +0100,Person 410,2006/08/16 00:47:56 +0100
422,Improvement,Closed,Fixed,Demos/Scripts,Major,Person 385,2005/07/01 08:59:45 +0100,2006/03/08 07:37:49 +0100,Person 385,2006/03/18 09:08:57 +0100
424,Bug,Closed,Fixed,SQL,Minor,Person 411,2005/07/01 09:44:06 +0100,2005/07/01 10:13:19 +0100,Person 380,2005/10/23 04:26:22 +0100
479,Bug,Closed,Fixed,SQL,Major,Person 379,2005/07/29 02:35:12 +0100,2006/02/14 07:25:09 +0100,Person 380,2006/03/07 13:45:25 +0100
483,Bug,Closed,Fixed,SQL,Trivial,Person 379,2005/08/03 02:35:24 +0100,2006/01/21 05:13:29 +0100,Person 417,2006/01/21 05:14:15 +0100
485,Bug,Closed,Fixed,SQL,Minor,Person 379,2005/08/03 05:31:30 +0100,2005/08/03 05:31:30 +0100,Person 379,2005/09/30 03:26:59 +0100
488,Bug,Closed,Fixed,SQL,Major,Person 379,2005/08/04 06:24:51 +0100,2005/08/20 06:51:18 +0100,Person 393,2005/09/30 03:27:58 +0100
498,Bug,Closed,Fixed,Network Client; Network Server,Major,Person 472,2005/08/09 02:30:19 +0100,2005/09/20 02:18:01 +0100,Person 413,2005/10/21 09:59:05 +0100
499,Improvement,Closed,Fixed,SQL,Major,Person 418,2005/08/09 04:45:47 +0100,2006/07/21 20:09:40 +0100,Unassigned,2010/09/29 18:49:11 +0100
504,Bug,Closed,Fixed,SQL,Minor,Person 394,2005/08/12 19:07:11 +0100,2005/08/17 03:19:21 +0100,Person 394,2007/01/11 10:49:28 +0100
514,Improvement,Closed,Fixed,Test,Major,Person 393,2005/08/18 23:03:55 +0100,2006/03/04 03:17:50 +0100,Person 413,2006/06/07 22:03:33 +0100
525,Bug,Closed,Fixed,Network Client,Major,Person 393,2005/08/20 08:48:55 +0100,2005/09/22 19:32:26 +0100,Person 398,2005/10/29 14:58:47 +0100
527,Bug,Closed,Fixed,Build tools,Major,Person 416,2005/08/23 00:59:33 +0100,2005/08/23 02:34:24 +0100,Person 416,2005/10/20 06:02:05 +0100
530,Bug,Closed,Fixed,Network Client,Major,Person 419,2005/08/24 01:25:47 +0100,2005/09/01 13:56:26 +0100,Person 393,2005/09/17 09:07:26 +0100
536,Bug,Closed,Fixed,Tools,Minor,Person 414,2005/08/25 02:27:53 +0100,2005/08/25 02:27:53 +0100,Person 414,2005/08/27 08:45:45 +0100
540,Bug,Closed,Fixed,Store,Major,Person 379,2005/08/26 03:25:38 +0100,2005/08/26 03:25:45 +0100,Person 379,2005/08/26 04:13:41 +0100
541,Bug,Closed,Fixed,SQL,Minor,Person 411,2005/08/26 09:58:08 +0100,2006/02/09 11:46:40 +0100,Person 411,2006/07/29 00:16:23 +0100
582,Bug,Closed,Fixed,JDBC,Major,Person 380,2005/09/21 16:18:34 +0100,2005/09/21 16:18:34 +0100,Person 380,2005/11/01 05:14:10 +0100
595,Bug,Closed,Fixed,SQL,Major,Person 381,2005/10/02 12:26:30 +0100,2007/03/07 12:44:24 +0100,Person 420,2007/04/25 11:58:55 +0100
606,Bug,Closed,Fixed,Store,Major,Person 421,2005/10/07 09:08:17 +0100,2006/11/10 18:01:38 +0100,Person 420,2007/01/04 13:36:35 +0100
618,Bug,Closed,Fixed,Network Client,Major,Person 421,2005/10/12 10:48:38 +0100,2006/02/28 11:32:02 +0100,Person 413,2006/03/10 04:01:12 +0100
622,Bug,Closed,Fixed,Tools,Minor,Person 379,2005/10/13 23:36:44 +0100,null,Unassigned,2006/08/01 06:22:50 +0100
623,Bug,Closed,Fixed,Services,Minor,Person 379,2005/10/13 23:41:33 +0100,2006/03/06 21:50:58 +0100,Person 422,2006/03/17 16:59:26 +0100
630,Bug,Closed,Fixed,SQL,Major,Entity 3,2005/10/17 07:20:43 +0100,2006/09/30 03:44:31 +0100,Person 423,2006/10/15 16:42:31 +0100
634,Bug,Closed,Fixed,SQL,Major,Person 424,2005/10/21 06:16:23 +0100,2006/08/19 22:16:52 +0100,Person 411,2006/08/20 03:22:44 +0100
638,Bug,Closed,Fixed,Network Client,Major,Person 413,2005/10/22 04:33:59 +0100,2006/11/07 14:01:40 +0100,Person 425,2006/11/16 13:24:39 +0100
642,Improvement,Closed,Fixed,Store,Minor,Person 394,2005/10/25 00:54:10 +0100,2011/01/20 11:19:46 +0100,Person 394,2011/03/07 14:27:40 +0100
655,Bug,Closed,Fixed,SQL,Major,Person 413,2005/10/28 02:18:01 +0100,2006/05/09 04:38:31 +0100,Person 380,2006/06/30 10:53:05 +0100
656,Bug,Closed,Fixed,,Major,Person 379,2005/10/28 03:08:40 +0100,2005/10/28 03:08:40 +0100,Person 379,2005/11/02 08:29:48 +0100
