issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
524,Bug,Closed,Fixed,C-1,Major,Person 84,2008/05/16 22:04:12 +0100,2008/05/17 00:36:29 +0100,Person 58,2008/05/19 03:17:42 +0100
536,Bug,Closed,Fixed,C-18,Major,Person 85,2008/05/21 10:13:29 +0100,2008/05/21 15:31:35 +0100,Person 58,2008/05/23 09:37:10 +0100
539,Improvement,Closed,Fixed,C-1,Major,Person 66,2008/05/21 17:42:35 +0100,2008/05/21 17:42:35 +0100,Person 66,2008/05/21 18:18:30 +0100
541,Improvement,Closed,Fixed,C-1,Major,Person 74,2008/05/22 09:49:09 +0100,2009/03/01 11:17:39 +0100,Person 71,2009/03/01 11:35:17 +0100
550,Bug,Closed,Fixed,C-1; C-5,Major,Person 58,2008/05/25 07:30:06 +0100,2008/05/25 07:30:06 +0100,Person 58,2008/05/26 16:49:16 +0100
551,Bug,Closed,Fixed,C-1,Minor,Person 71,2008/05/26 05:17:46 +0100,2008/05/26 05:17:46 +0100,Person 71,2008/05/26 06:10:21 +0100
552,Bug,Closed,Fixed,C-5,Major,Person 71,2008/05/28 05:34:40 +0100,2008/05/28 05:34:40 +0100,Person 71,2008/05/29 05:46:24 +0100
574,Bug,Closed,Fixed,,Major,Person 58,2008/06/04 02:42:58 +0100,2008/06/04 02:42:58 +0100,Person 58,2008/06/04 03:38:07 +0100
581,Bug,Closed,Fixed,C-1,Trivial,Person 71,2008/06/05 10:13:58 +0100,2008/06/05 10:13:58 +0100,Person 71,2008/06/06 06:14:07 +0100
582,Improvement,Closed,Fixed,C-1,Trivial,Person 71,2008/06/06 08:02:49 +0100,2008/06/07 15:15:10 +0100,Person 71,2008/06/12 05:08:45 +0100
593,Bug,Closed,Fixed,C-1,Minor,Person 86,2008/06/08 22:59:59 +0100,2008/06/09 03:52:40 +0100,Person 58,2008/06/09 09:23:38 +0100
594,Bug,Closed,Fixed,documentation; examples,Major,Person 82,2008/06/09 15:34:01 +0100,2008/06/09 15:34:01 +0100,Person 82,2008/06/09 19:11:52 +0100
596,Improvement,Closed,Fixed,C-6,Trivial,Person 86,2008/06/09 18:44:53 +0100,2008/06/09 19:30:12 +0100,Person 71,2008/06/09 19:38:43 +0100
613,Improvement,Closed,Fixed,jmx,Major,Person 58,2008/06/17 04:27:12 +0100,2008/06/17 04:27:12 +0100,Person 58,2008/06/24 14:02:30 +0100
615,Improvement,Closed,Fixed,C-20,Major,Person 60,2008/06/17 17:46:50 +0100,2008/06/18 01:40:10 +0100,Person 58,2008/06/18 03:44:16 +0100
620,Bug,Closed,Fixed,C-1,Major,Person 84,2008/06/19 23:45:43 +0100,2008/06/24 05:14:23 +0100,Person 71,2008/06/24 05:45:36 +0100
621,Improvement,Closed,Fixed,C-1,Major,Person 71,2008/06/20 06:01:51 +0100,2008/06/20 06:01:51 +0100,Person 71,2008/08/22 06:36:09 +0100
627,Improvement,Closed,Fixed,C-1,Major,Person 71,2008/06/23 06:04:25 +0100,2008/06/24 06:01:09 +0100,Person 71,2008/06/25 06:09:25 +0100
634,Bug,Closed,Fixed,C-1; C-6,Major,Person 87,2008/06/24 23:09:21 +0100,2008/06/29 18:23:33 +0100,Person 71,2008/07/01 15:29:54 +0100
636,Bug,Closed,Fixed,C-1,Major,Person 71,2008/06/25 12:40:27 +0100,2008/06/25 12:40:27 +0100,Person 71,2008/07/09 17:18:26 +0100
